NAZWA_CREO,                        NUMER,                            NAZWA,                                   ILOSC, TYP , MATERIAL,             OBROBKA_CIEPLNA,           OBROBKA_POWIERZCHNI,                      UWAGI,
3842992437_1360-PROFIL_45X90L-H , 3842992437_1345                 , PROFIL_45X90L                          ,  3   , -H , ALUMINIUM           , Brak                     , Brak                                    , kat. Bosch               ,
3842992453_2200-PROFIL_45X90L-H , 3842992453_2200                 , PROFIL_45X90L                          ,  2   , -H , ALUMINIUM           , Brak                     , Brak                                    , kat. Bosch               ,
3842992954_600-PROFIL_45X45L-H  , 3842992954_600                  , PROFIL_45X45L                          ,  2   , -H , ALUMINIUM           , Brak                     , Brak                                    , kat. Bosch               ,
3842992453_813-PROFIL_45X90L-H  , 3842992453_855                  , PROFIL_45X90L                          ,  2   , -H , ALUMINIUM           , Brak                     , Brak                                    , kat. Bosch               ,
3842992437_965-PROFIL_45X90L-H  , 3842992437_1100                 , PROFIL_45X90L                          ,  1   , -H , ALUMINIUM           , Brak                     , Brak                                    , kat. Bosch               ,
3842536564-PLYTA_45X90-H        , 3842536564                      , PLYTA_45X90                            ,  4   , -H , ,                          ,                                         , kat. Bosch               ,
LVA_70_14_ASM_16X148-STOPA-H    , LV.A-70-14-AS-M16X148           , Stopa wahliwa                          ,  4   , -H , ,                          ,                                         , Elesa                    ,
3842992954_582-PROFIL_45X45L-H  , 3842992954_582                  , PROFIL_45X45L                          ,  4   , -H , ALUMINIUM           , Brak                     , Brak                                    , kat. Bosch               ,
3842992425_590-PROFIL_45X45L-H  , 3842992425_590                  , PROFIL_45X45L                          ,  4   , -H , ,                          ,                                         , kat. Bosch               ,
IX24_02010101-SZYBA-F           , IX24.02.01.01.01                , SZYBA                                  ,  2   , -F , POLIWEGLAN          , Brak / None              , Brak / None                             ,                          ,
M_990_115_EH_6_C9-UCHWYT-H      , M.990/115 EH-6-C9               , Uchwyt bezpieczny                      ,  2   , -H , ,                          ,                                         , Elesa                    ,
3842544531_45X45-ZAWIAS_ALU-H1  , nr. katalogowy                  , nazwa katalogowa                       ,  8   , H1 , ,                          ,                                         , Producent                ,
3842544531_45X45-ZAWIAS_ALU-H   , 3842544531                      , Zawias 45x45                           ,  4   , -H , ,                          ,                                         , Kat. Bosch               ,
IX24_02010102-MOC_PSEN_PLATE-L  , IX24.02.01.01.02                , MOC_PSEN_PLATE                         ,  2   , -F , X5CRNI18-10         , Brak / None              , Gratować w bębnie / Deburr              ,                          ,
PSEN1_4-BEZP_AKTYW-H            , 506301                          , Aktywator magnet. czujnika bezp        ,  1   , -H , ,                          ,                                         , kat. PILZ                ,
GN_4470-50-C2-Z2-SW-ZATR_MAG-H  , GN 4470-50-C2-Z2-SW             , Zatrzask magnetyczny                   ,  2   , -H , ,                          ,                                         , Elesa                    ,
GN_4470-50-C2-Z2-SW-ZATR_MAG-H1 ,                                 ,                                        ,  2   , RT , ,                          ,                                         ,                          ,
GN_4470-50-C2-Z3-SW-ZATR-MAG-H  , GN_4470-50-C2-Z3-SW             , Zatrzask magnetyczny                   ,  2   , -H , ,                          ,                                         , Elesa                    ,
GN_4470-50-C2-Z3-SW-ZATR_MAG-H1 ,                                 ,                                        ,  2   , RT , ,                          ,                                         ,                          ,
IX24_02010103-BL_MASK_3-L       , IX24.02.01.01.03                , BL_MASK_3                              ,  2   , -L , X5CRNI18-10         , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
PSEN1_4-BEZP_PRZELACZNIK-H      , 506342                          , Magnet. czujnik bezp                   ,  1   , -H , ,                          ,                                         , PILZ                     ,
GN_412_1_47_M16X1_5_1-OPRAWA-H  , GN 412.1-47-M16x1.5-1           , Oprawka montażowa                      ,  1   , -H , ,                          ,                                         , Kat. Elesa               ,
GN_817_10_12_BK-ZATRZAS_TRZEP-H , GN 817-10-12-BK                 , Trzpień ustalający                     ,  1   , -H , ,                          ,                                         , Kat. Elesa               ,
GN_412_3_M16X1_5_B102-TUL_POZ-H , GN 412.3-M16x1.5-B10.2          , Tuleja pozycjonująca                   ,  1   , -H , ,                          ,                                         , Kat. Elesa               ,
IX24_02010201-PL_RYGLA-F        , IX24.02.01.02.01                , PL_RYGLA                               ,  1   , -F , AW2017              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02010202-PL_RYGLA_2-F      , IX24.02.01.02.01                , PL_RYGLA_2                             ,  1   , -F , AW2017              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02010001-BLAT_MONTAZ-F     , IX24.02.01.00.01                , BLAT_MONTAZ                            ,  1   , -F , AW5083              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02010002A-OSL_PODAJN-L     , IX24.02.01.00.02A               , OSL_PODAJN                             ,  1   , -L , S235JR              , Spawać / Weld            , Malować proszkowo / Powder coat         ,                          ,
IX24_02010003A-OSL_BOCZ_SZAF-L  , IX24.02.01.00.03A               , OSL_BOCZ_SZAF                          ,  1   , -L , S235JR              , Brak / None              , Malować proszkowo / Powder coat         ,                          ,
IX24_02010004A-OSL_TYL-L        , IX24.02.01.00.04                , OSL_TYL                                ,  1   , -L , S235JR              , Brak / None              , Malować proszkowo / Powder coat         ,                          ,
IX24_02010005A-KATOW_KORYTA-L   , IX24.02.01.00.05A               , KATOW_KORYTA                           ,  1   , -L , AW5754              , Brak / None              , Zmatowić / Matt                         ,                          ,
KDS60H60_L700-KOR-H             , KDS60H60.L8.00.-K.              , Koryto siatkowe 60x56 - L=700          ,  1   , -H , Stal                , Brak                     , Brak                                    , kat. BAKS                ,
IX24_02010006A-BL_MASK_1-L      , IX24.02.01.00.06A               , BL_MASK_1                              ,  1   , -L , S235JR              , Brak / None              , Malować proszkowo / Powder coat         ,                          ,
IX24_02010007A-BL_MASK_2-L      , IX24.02.01.00.07A               , BL_MASK_2                              ,  1   , -L , S235JR              , Spawać / Weld            , Malować proszkowo / Powder coat         ,                          ,
IX24_02010008-BL_KOTW-L         , IX24.02.01.00.08                , BL_KOTW                                ,  4   , -L , S235JR              , Brak / None              , Cynkować / Zinc                         ,                          ,
IX24_02010009-DYSTANS_KOTW-F    , IX24.02.01.00.09                , DYSTANS_KOTW                           ,  4   , -F , AW2017              , Brak / None              , Zmatowić / Matt                         ,                          ,
IX24_02010401-PL_PRZYG_POW-F    , IX24.02.01.04.01                , PL_PRZYG_POW                           ,  1   , -F , AW5083              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
3842992425_762-PROFIL_45X45L-H  , 3842992425_756                  , PROFIL_45X45L                          ,  2   , -H , ,                          ,                                         , kat. Bosch               ,
3842992432_762-PROFIL_45X90L-H  , 3842992432_756                  , PROFIL_45X90L                          ,  1   , -H , ALUMINIUM           , Brak                     , Brak                                    , kat. Bosch               ,
3842992954_764-PROFIL_45X45L-H  , 3842992954_764                  , PROFIL_45X45L                          ,  1   , -H , ALUMINIUM           , Brak                     , Brak                                    , kat. Bosch               ,
3842992954_506-PROFIL_45X45L-H  , 3842992954_506                  , PROFIL_45X45L                          ,  2   , -H , ALUMINIUM           , Brak                     , Brak                                    , kat. Bosch               ,
IX24_02010402-SZYBA-F           , IX24.02.01.04.02                , SZYBA                                  ,  1   , -F , POLIWEGLAN          , Brak / None              , Brak / None                             ,                          ,
IX24_02010403-BL_LACZ-L         , IX24.02.01.04.03                , BL_LACZ                                ,  2   , -L , X5CRNI18-10         , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02010404-BL_LACZ_2-L       , IX24.02.01.04.04                , BL_LACZ_2                              ,  1   , -L , X5CRNI18-10         , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02010405-SIATKA-L          , IX24.02.01.04.05                , SIATKA                                 ,  1   , -L , S235JR              , Spawać                   , Malować                                 ,                          ,
